sa_2022_code,town_name,town_name_alt,county,method,distance_km
027006003,Ballyconnell,,Cavan,within_settlement,0.53
027006004,Ballyconnell,,Cavan,within_settlement,0.34
027006005,Ballyconnell,,Cavan,within_settlement,1.0
027006006,Ballyconnell,,Cavan,within_settlement,0.18
027006007,Ballyconnell,,Cavan,within_settlement,0.6
027006008,Ballyconnell,,Cavan,within_settlement,0.55
027007001,Ballyhaise,,Cavan,nearest_settlement,1.41
027007002,Ballyhaise,,Cavan,nearest_settlement,1.06
027007003,Ballyhaise,,Cavan,within_settlement,0.39
027007004,Ballyhaise,,Cavan,within_settlement,0.39
027008001,Ballyjamesduff,,Cavan,nearest_settlement,1.04
027008002,Ballyjamesduff,,Cavan,within_settlement,0.67
027008003,Ballyjamesduff,,Cavan,within_settlement,0.66
027008004,Ballyjamesduff,,Cavan,within_settlement,0.47
027008005,Ballyjamesduff,,Cavan,within_settlement,0.63
027008006,Ballyjamesduff,,Cavan,within_settlement,0.4
027008007/027008011,Ballyjamesduff,,Cavan,within_settlement,0.27
027008008/027008003,Ballyjamesduff,,Cavan,within_settlement,0.13
027008009,Ballyjamesduff,,Cavan,within_settlement,0.41
027008010,Ballyjamesduff,,Cavan,nearest_settlement,2.2
027008011,Ballyjamesduff,,Cavan,within_settlement,0.44
027008012,Ballyjamesduff,,Cavan,within_settlement,0.95
027009001,Kilnaleck,,Cavan,nearest_settlement,4.47
027009002,Kilnaleck,,Cavan,nearest_settlement,1.58
027009003,Kilnaleck,,Cavan,nearest_settlement,4.64
027009004,Kilnaleck,,Cavan,nearest_settlement,3.69
027010001,Ballyconnell,,Cavan,nearest_settlement,8.21
027011001,Ballyconnell,,Cavan,nearest_settlement,7.29
027011002,Ballyconnell,,Cavan,nearest_settlement,5.95
027011003,Ballyconnell,,Cavan,nearest_settlement,6.44
027012002,Ballinagh,,Cavan,nearest_settlement,1.93
027012003,Ballinagh,,Cavan,within_settlement,0.15
027012004,Ballinagh,,Cavan,within_settlement,0.76
027012005,Ballinagh,,Cavan,within_settlement,0.64
027012006/027012001,Ballinagh,,Cavan,nearest_settlement,0.27
027013001,Belturbet,,Cavan,within_settlement,0.92
027013002,Belturbet,,Cavan,within_settlement,0.58
027013003,Belturbet,,Cavan,nearest_settlement,0.47
027013004,Belturbet,,Cavan,within_settlement,0.67
027013005,Belturbet,,Cavan,within_settlement,0.23
027013006,Belturbet,,Cavan,within_settlement,0.22
027013007,Belturbet,,Cavan,within_settlement,0.61
027013008,Belturbet,,Cavan,within_settlement,0.35
027013009,Belturbet,,Cavan,within_settlement,0.17
027014001,Swanlinbar,,Cavan,nearest_settlement,10.47
027015001,Ballyconnell,,Cavan,nearest_settlement,5.92
027016001,Arvagh,,Cavan,nearest_settlement,4.65
027017001,Butlersbridge,,Cavan,within_settlement,0.0
027017002,Butlersbridge,,Cavan,nearest_settlement,0.98
027018001,Cootehill,,Cavan,nearest_settlement,10.15
027018002,Bailieborough,,Cavan,nearest_settlement,8.09
027019001,Ballyconnell,,Cavan,nearest_settlement,4.98
027020001,Bailieborough,,Cavan,nearest_settlement,4.53
027020002,Bailieborough,,Cavan,nearest_settlement,3.97
027021001,Butlersbridge,,Cavan,nearest_settlement,3.77
027021002,Butlersbridge,,Cavan,nearest_settlement,3.76
027022001,Ballyjamesduff,,Cavan,nearest_settlement,6.88
027022002,Ballyjamesduff,,Cavan,nearest_settlement,3.58
027022003,Ballyjamesduff,,Cavan,nearest_settlement,4.91
027022004,Ballyjamesduff,,Cavan,nearest_settlement,4.51
027023001,Belturbet,,Cavan,nearest_settlement,4.24
027024001,Cavan,,Cavan,within_settlement,1.99
027024002,Cavan,,Cavan,within_settlement,1.62
027024003,Cavan,,Cavan,within_settlement,1.57
027024004,Butlersbridge,,Cavan,nearest_settlement,2.3
027024005,Cavan,,Cavan,within_settlement,2.09
027024006,Cavan,,Cavan,within_settlement,2.2
027024007,Cavan,,Cavan,within_settlement,2.56
027024008,Cavan,,Cavan,within_settlement,2.59
027024009,Cavan,,Cavan,within_settlement,1.74
027024010,Cavan,,Cavan,within_settlement,1.45
027024011,Cavan,,Cavan,within_settlement,1.22
027024012,Cavan,,Cavan,within_settlement,0.94
027024013,Cavan,,Cavan,within_settlement,1.2
027024014,Cavan,,Cavan,nearest_settlement,2.34
027024015,Cavan,,Cavan,nearest_settlement,1.86
027024016,Cavan,,Cavan,within_settlement,1.94
027024017,Cavan,,Cavan,within_settlement,1.53
027024018,Cavan,,Cavan,within_settlement,0.7
027024019,Cavan,,Cavan,within_settlement,0.95
027024020,Cavan,,Cavan,within_settlement,1.75
027024021,Cavan,,Cavan,within_settlement,1.91
027024022,Cavan,,Cavan,within_settlement,1.54
027024023,Cavan,,Cavan,within_settlement,1.29
027024024,Cavan,,Cavan,within_settlement,1.91
027024025,Cavan,,Cavan,within_settlement,0.89
027024026,Cavan,,Cavan,nearest_settlement,2.24
027024027,Cavan,,Cavan,within_settlement,0.58
027024028,Cavan,,Cavan,within_settlement,0.75
027025001,Cavan,,Cavan,within_settlement,0.41
027025002,Cavan,,Cavan,within_settlement,0.11
027025003,Cavan,,Cavan,within_settlement,1.08
027025004,Cavan,,Cavan,within_settlement,0.41
027025005,Cavan,,Cavan,within_settlement,0.61
027025006,Cavan,,Cavan,within_settlement,1.13
027025007,Cavan,,Cavan,within_settlement,0.38
027025008,Cavan,,Cavan,within_settlement,0.38
027025009,Cavan,,Cavan,within_settlement,0.12
027025010,Cavan,,Cavan,within_settlement,0.21
027025011,Cavan,,Cavan,within_settlement,0.84
027025012,Cavan,,Cavan,within_settlement,0.71
027025013/027025014,Cavan,,Cavan,within_settlement,0.95
027025014/027025018,Cavan,,Cavan,within_settlement,0.85
027025015,Cavan,,Cavan,within_settlement,0.32
027025016,Cavan,,Cavan,within_settlement,0.65
027025017,Cavan,,Cavan,within_settlement,0.81
027026001,Ballyhaise,,Cavan,nearest_settlement,2.34
027026002,Ballyhaise,,Cavan,nearest_settlement,3.92
027027001,Cootehill,,Cavan,nearest_settlement,3.16
027027002,Cootehill,,Cavan,nearest_settlement,0.82
027027003/01,Cootehill,,Cavan,nearest_settlement,2.25
027027003/02,Cootehill,,Cavan,within_settlement,1.11
027027004,Cootehill,,Cavan,nearest_settlement,5.0
027028001,Cootehill,,Cavan,within_settlement,0.29
027028002,Cootehill,,Cavan,within_settlement,0.33
027028003,Cootehill,,Cavan,within_settlement,0.7
027028004,Cootehill,,Cavan,within_settlement,0.61
027028005,Cootehill,,Cavan,within_settlement,0.5
027028006/027028005,Cootehill,,Cavan,within_settlement,0.46
027028007/027028008,Cootehill,,Cavan,within_settlement,0.39
027028008,Cootehill,,Cavan,within_settlement,0.43
027029001,Killeshandra,,Cavan,nearest_settlement,5.34
027030001,Cootehill,,Cavan,nearest_settlement,8.74
027030002,Cootehill,,Cavan,nearest_settlement,5.64
027031001,Virginia,,Cavan,nearest_settlement,4.16
027031002,Virginia,,Cavan,nearest_settlement,4.39
027032001,Ballinagh,,Cavan,nearest_settlement,5.28
027032002,Ballinagh,,Cavan,nearest_settlement,5.65
027032003,Ballinagh,,Cavan,nearest_settlement,3.39
027033001,Cavan,,Cavan,nearest_settlement,8.76
027033002,Ballyjamesduff,,Cavan,nearest_settlement,6.1
027034001,Cavan,,Cavan,nearest_settlement,6.88
027035001,Ballinagh,,Cavan,nearest_settlement,5.04
027035002,Ballinagh,,Cavan,nearest_settlement,3.86
027035003,Kilnaleck,,Cavan,nearest_settlement,6.94
027036001,Kilnaleck,,Cavan,nearest_settlement,4.31
027036002,Kilnaleck,,Cavan,nearest_settlement,4.09
027037001,Blacklion,,Cavan,nearest_settlement,9.21
