sa_2022_code,d_nursing_km,d_homecare_km,d_fci_km,d_nearest_km,support_nearby,nearest_type,nearest_loc,pr_distance,isolation,vulnerability,service_desert
217152025,0.65,16.03,40.69,16.03,1,homecare,town,72.35,66.8,78.69,56.93
217152026,0.47,16.41,41.08,16.41,1,homecare,town,73.22,79.62,57.77,42.3
217153001,3.8,18.04,31.74,18.04,1,homecare,address,77.04,58.46,51.61,39.76
217154001,4.57,25.03,35.14,25.03,0,homecare,address,87.79,62.28,63.41,55.67
217155001,14.25,15.06,36.22,15.06,3,homecare,county,69.98,48.88,78.52,54.95
217156001,13.26,13.1,42.33,13.1,3,homecare,county,64.77,70.67,67.39,43.65
217156002,13.33,12.94,42.88,12.94,3,homecare,county,64.37,72.31,78.29,50.4
217156003,13.71,13.39,42.82,13.39,3,homecare,county,65.71,78.06,82.31,54.09
217156004,13.92,13.85,42.27,13.85,3,homecare,county,66.99,56.28,58.51,39.2
217156005,13.59,13.5,42.24,13.5,3,homecare,county,65.99,69.21,79.26,52.3
217156006,12.82,12.7,42.14,12.7,3,homecare,county,63.71,75.87,75.2,47.91
217156007/01,12.71,12.7,41.87,12.7,3,homecare,county,63.68,72.47,75.23,47.91
217156007/02,13.54,13.61,41.87,13.61,3,homecare,county,66.29,63.53,59.27,39.29
217156008,12.9,12.49,42.8,12.49,3,homecare,county,63.11,58.13,71.94,45.4
217156009,12.73,12.48,42.41,12.48,3,homecare,county,63.05,42.77,41.09,25.91
217157001,8.46,28.24,28.57,28.24,0,homecare,town,91.34,64.85,54.16,49.47
217157002,9.7,25.04,25.34,25.04,0,homecare,town,87.81,65.58,48.16,42.29
217158001,11.43,15.29,37.84,15.29,3,homecare,county,70.56,53.15,71.25,50.27
217158002,8.82,18.26,35.2,18.26,3,homecare,county,77.55,48.55,60.46,46.89
217158003,8.57,16.62,35.0,16.62,3,homecare,county,73.71,71.81,78.3,57.71
217159001,4.24,27.94,51.7,27.94,0,homecare,address,91.11,53.99,54.45,49.61
217159002,6.06,30.81,52.14,30.81,0,homecare,town,93.7,57.93,56.38,52.83
217159003,6.95,29.75,49.56,29.75,0,homecare,address,93.02,58.8,60.03,55.84
217160001,8.29,23.06,25.42,23.06,3,homecare,county,84.96,58.88,62.25,52.89
217160002,8.45,24.98,25.01,24.98,1,homecare,town,87.73,47.51,42.63,37.4
217161001,1.61,5.33,34.65,5.33,3,homecare,county,45.01,36.76,49.59,22.32
217161002,3.18,4.99,39.25,4.99,3,homecare,county,43.57,28.21,41.03,17.88
217161003,3.03,8.0,35.81,8.0,3,homecare,county,53.14,42.23,53.45,28.4
217161004,1.11,4.11,36.51,4.11,3,homecare,county,39.9,33.37,46.82,18.68
217161005,1.18,5.96,34.91,5.96,3,homecare,county,47.29,48.21,33.03,15.62
217161006,1.34,6.28,34.85,6.28,3,homecare,county,48.37,49.41,47.34,22.9
217161007,2.72,7.46,33.6,7.46,3,homecare,county,51.87,39.94,59.3,30.76
217162001,1.49,5.68,37.31,5.68,3,homecare,county,46.26,41.22,49.71,23.0
217162002,0.34,4.94,36.01,4.94,3,homecare,county,43.35,63.11,76.52,33.17
217162003,0.21,5.02,36.2,5.02,3,homecare,county,43.72,65.37,63.87,27.92
217162004,1.94,6.86,36.6,6.86,3,homecare,county,50.17,58.66,59.41,29.81
217162005,1.75,6.82,36.24,6.82,3,homecare,county,50.04,55.62,81.26,40.66
217162006,1.99,7.06,36.23,7.06,3,homecare,county,50.77,51.16,68.09,34.57
217162007,2.08,7.21,36.02,7.21,3,homecare,county,51.22,56.98,54.94,28.14
217162008,1.23,6.31,36.24,6.31,3,homecare,county,48.44,71.45,81.95,39.7
217162009,1.75,6.96,35.59,6.96,3,homecare,county,50.44,59.05,51.33,25.89
217162010,0.63,5.12,36.68,5.12,3,homecare,county,44.15,63.09,66.21,29.23
217162011,0.25,5.37,35.82,5.37,3,homecare,county,45.18,67.49,79.23,35.8
217162012,0.98,5.96,35.16,5.96,3,homecare,county,47.27,46.82,76.3,36.07
217162013,0.71,5.72,35.39,5.72,3,homecare,county,46.4,43.91,54.65,25.36
217162014,0.52,5.74,35.84,5.74,3,homecare,county,46.47,64.56,63.95,29.72
217162015,0.57,5.75,35.66,5.75,3,homecare,county,46.54,58.04,76.83,35.76
217162016,0.62,5.44,35.45,5.44,3,homecare,county,45.36,66.19,59.0,26.76
217162017,0.78,5.55,35.29,5.55,3,homecare,county,45.78,59.48,46.84,21.44
217162018,0.29,5.5,36.04,5.5,3,homecare,county,45.54,68.3,83.33,37.95
217162019,0.36,5.58,35.97,5.58,3,homecare,county,45.9,68.23,50.05,22.97
217162020,1.56,6.64,36.22,6.64,3,homecare,county,49.47,58.44,59.01,29.19
217162021,1.41,6.49,36.23,6.49,3,homecare,county,48.94,51.79,55.79,27.3
217162022,0.46,4.87,36.47,4.87,3,homecare,county,43.04,62.83,80.14,34.49
217162023,0.53,4.96,36.58,4.96,3,homecare,county,43.41,66.18,81.81,35.51
217162024,0.72,5.42,36.65,5.42,3,homecare,county,45.32,70.06,55.88,25.32
217162025,0.38,5.36,36.34,5.36,3,homecare,county,45.12,60.8,82.84,37.38
217162026,0.75,5.75,36.38,5.75,3,homecare,county,46.52,70.58,70.89,32.98
217162027,1.61,6.44,36.72,6.44,3,homecare,county,48.82,67.64,70.68,34.51
217162028,1.27,5.76,37.01,5.76,3,homecare,county,46.58,46.66,55.12,25.67
217162029,0.66,5.85,36.0,5.85,3,homecare,county,46.9,62.55,75.25,35.29
217162030,1.09,6.27,35.98,6.27,3,homecare,county,48.35,67.06,77.23,37.34
217162031,0.92,6.08,35.41,6.08,3,homecare,county,47.69,50.18,61.66,29.41
217162032,1.3,6.51,35.45,6.51,3,homecare,county,49.0,69.16,67.73,33.19
217163001,4.24,20.48,42.86,20.48,1,homecare,town,81.47,47.03,50.9,41.47
217164001,0.57,25.49,33.25,25.49,0,homecare,address,88.32,86.78,92.43,81.63
217164002,0.35,25.77,33.23,25.77,0,homecare,address,88.68,87.24,83.8,74.31
217164003,0.58,25.74,33.49,25.74,0,homecare,address,88.61,76.3,57.95,51.35
217164004,0.17,25.93,33.15,25.93,0,homecare,address,88.93,89.0,65.12,57.91
217164005,0.14,26.03,33.09,26.03,0,homecare,address,89.08,84.17,73.65,65.61
217164006,0.3,25.83,33.28,25.83,0,homecare,address,88.76,92.08,64.1,56.9
217164007,0.49,25.6,33.43,25.6,0,homecare,address,88.42,88.78,78.66,69.55
217164008,0.38,25.89,33.05,25.89,0,homecare,address,88.87,90.5,72.93,64.81
217164009,0.2,25.3,33.67,25.3,0,homecare,address,88.14,90.41,67.08,59.12
217164010,0.58,25.29,33.85,25.29,0,homecare,address,88.12,72.33,91.53,80.66
217164011,0.3,25.44,33.42,25.44,0,homecare,address,88.26,92.28,77.3,68.22
217164012,0.68,25.98,32.85,25.98,0,homecare,address,89.0,84.19,82.84,73.73
217165001,0.78,25.17,33.45,25.17,0,homecare,address,87.97,86.18,63.01,55.43
217165002,1.73,26.67,31.88,26.67,0,homecare,address,89.83,61.95,58.02,52.12
217165003,3.34,23.73,34.33,23.73,1,homecare,address,85.98,46.83,52.07,44.77
217165004,2.17,23.59,35.79,23.59,1,homecare,address,85.73,58.16,72.49,62.15
217165005,2.47,22.88,35.58,22.88,1,homecare,address,84.63,58.92,78.0,66.01
217165006,0.68,26.29,33.07,26.29,0,homecare,address,89.37,76.77,62.52,55.87
217165007,0.79,25.99,33.4,25.99,0,homecare,address,89.02,54.52,41.09,36.58
217165008,1.08,26.1,33.43,26.1,0,homecare,address,89.17,67.95,45.88,40.91
217166001,0.61,24.89,34.21,24.89,1,homecare,address,87.61,81.02,87.88,76.99
217166002,0.45,24.71,34.17,24.71,1,homecare,address,87.35,89.92,69.29,60.52
217166003,0.31,24.84,34.05,24.84,1,homecare,address,87.56,91.81,84.84,74.29
217166004,0.76,24.72,33.92,24.72,1,homecare,address,87.37,71.95,40.45,35.34
217166005,0.72,24.83,33.81,24.83,1,homecare,address,87.54,60.03,50.51,44.22
217166006,0.67,24.57,34.42,24.57,1,homecare,address,87.21,87.49,87.5,76.31
217166007,0.48,24.79,34.21,24.79,1,homecare,address,87.45,89.32,90.16,78.84
217166008,0.34,24.82,34.0,24.82,1,homecare,address,87.52,83.97,60.35,52.82
217166009,0.74,24.53,34.17,24.53,1,homecare,address,87.13,72.64,80.1,69.79
217166010,0.92,24.27,34.66,24.27,1,homecare,address,86.83,87.37,69.23,60.11
217166011,0.61,24.54,34.31,24.54,1,homecare,address,87.17,86.7,86.86,75.72
217167001,5.67,15.99,16.61,15.99,2,homecare,town,72.24,38.12,36.8,26.58
217167002,6.01,19.87,20.38,19.87,2,homecare,town,80.42,49.19,58.65,47.17
217168001,7.76,12.36,13.09,12.36,3,homecare,town,62.76,62.38,66.92,42.0
217168002,8.02,9.23,10.11,9.23,3,homecare,town,55.91,33.72,54.2,30.3
217168003,5.96,9.09,9.84,9.09,3,homecare,town,55.57,46.97,63.29,35.17
217168004,4.04,7.85,8.5,7.85,3,homecare,town,52.79,33.53,40.58,21.42
217169001,12.3,18.37,19.18,18.37,3,homecare,town,77.76,51.17,53.96,41.96
217170001,3.79,14.93,14.42,14.42,5,fci,town,68.45,37.41,55.15,37.75
217170002,5.22,15.3,14.95,14.95,5,fci,town,69.73,54.45,56.54,39.43
217170003,6.06,14.2,13.87,13.87,2,fci,town,67.01,40.77,57.16,38.3
217171001/01,7.46,12.65,31.13,12.65,3,homecare,county,63.57,54.37,57.55,36.58
