sa_2022_code,d_nursing_km,d_homecare_km,d_fci_km,d_nearest_km,support_nearby,nearest_type,nearest_loc,pr_distance,isolation,vulnerability,service_desert
217089012,1.12,1.91,2.3,1.91,3,homecare,town,23.74,27.4,45.08,10.7
217090001,9.52,31.29,42.73,31.29,0,homecare,address,94.12,55.65,44.49,41.87
217090002,6.49,32.65,45.12,32.65,0,homecare,address,95.02,51.34,54.47,51.76
217090003,8.22,29.58,46.99,29.58,0,homecare,address,92.87,47.19,51.69,48.0
217091001,11.02,12.05,11.28,11.28,2,fci,town,60.46,36.3,54.63,33.03
217091002,9.66,10.42,9.6,9.6,2,fci,town,56.78,52.89,55.23,31.36
217091003,9.71,13.99,13.24,13.24,2,fci,town,65.26,52.8,55.3,36.09
217092001,7.68,15.23,15.23,15.23,7,homecare,town,70.42,36.8,47.52,33.46
217092002,8.65,17.25,17.25,17.25,7,homecare,town,75.27,48.77,49.92,37.57
217093001,0.8,15.67,16.0,15.67,2,homecare,town,71.51,78.54,66.78,47.75
217093002,0.75,15.61,15.98,15.61,2,homecare,town,71.37,77.33,55.12,39.34
217093003,1.26,16.05,16.43,16.05,2,homecare,town,72.42,69.27,67.02,48.54
217093004,0.85,15.48,15.87,15.48,2,homecare,town,71.02,75.79,59.62,42.34
217093005,4.2,18.93,19.34,18.93,2,homecare,town,78.76,50.12,56.84,44.77
217093006,1.98,16.29,16.71,16.29,2,homecare,town,72.92,50.11,69.65,50.79
217093008,0.47,15.39,15.75,15.39,2,homecare,town,70.82,68.91,53.41,37.82
217093009/217093007,0.84,15.58,15.9,15.58,2,homecare,town,71.29,72.19,48.4,34.5
217094001,7.14,19.23,20.16,19.23,5,homecare,address,79.34,49.09,48.54,38.51
217095001,9.65,23.85,24.35,23.85,2,homecare,town,86.14,45.81,49.14,42.33
217095002,9.66,21.6,22.24,21.6,2,homecare,town,83.08,61.38,56.12,46.62
217096001,3.5,27.12,29.66,27.12,0,homecare,county,90.29,62.64,60.35,54.49
217096002,5.16,24.74,29.25,24.74,3,homecare,county,87.4,64.27,62.11,54.28
217097001,4.81,22.88,40.81,22.88,3,homecare,county,84.64,54.51,47.8,40.46
217097002,6.06,20.96,39.15,20.96,3,homecare,county,82.2,42.84,39.24,32.26
217098001,6.55,21.21,21.47,21.21,2,homecare,town,82.53,63.08,54.96,45.36
217098002,4.41,18.5,18.71,18.5,2,homecare,town,78.0,48.11,65.72,51.26
217100001,10.77,20.58,40.73,20.58,3,homecare,county,81.62,44.45,38.84,31.7
217100002,13.27,18.21,39.78,18.21,3,homecare,county,77.43,46.66,53.0,41.04
217101001,13.83,16.79,46.14,16.79,3,homecare,county,74.14,56.25,37.66,27.92
217102001,6.66,17.91,17.8,17.8,2,fci,town,76.6,42.88,45.79,35.08
217102002,4.37,17.96,17.71,17.71,5,fci,town,76.35,43.61,47.66,36.39
217103001,10.94,18.43,24.34,18.43,4,homecare,county,77.86,55.05,77.59,60.41
217103002,10.76,19.69,23.26,19.69,5,homecare,county,80.12,81.36,80.03,64.12
217103003,11.38,20.25,23.35,20.25,5,homecare,county,81.09,80.14,68.08,55.21
217103004,11.7,16.69,26.97,16.69,3,homecare,county,73.93,65.62,60.59,44.79
217103005,10.66,20.41,22.61,20.41,5,homecare,county,81.34,73.8,76.17,61.96
217103006,10.61,20.73,22.31,20.73,5,homecare,county,81.86,59.45,69.69,57.05
217104001,10.53,22.54,22.54,22.54,6,homecare,town,84.21,45.63,53.07,44.69
217104002,7.76,20.74,20.74,20.74,7,homecare,town,81.87,47.59,48.63,39.81
217105001,7.39,25.97,30.23,25.97,0,homecare,county,88.98,73.73,76.05,67.67
217105002,7.76,24.16,31.11,24.16,3,homecare,county,86.67,55.31,63.83,55.32
217106001,6.47,22.89,35.2,22.89,3,homecare,county,84.67,61.92,60.14,50.92
217106002,3.72,25.13,33.27,25.13,0,homecare,county,87.91,56.7,51.01,44.84
217107001,6.07,15.83,15.21,15.21,2,fci,town,70.35,44.7,46.11,32.44
217108001,9.38,17.54,39.42,17.54,3,homecare,county,75.98,47.77,47.53,36.11
217108002,12.7,14.54,39.15,14.54,3,homecare,county,68.72,52.08,50.09,34.42
217109001,13.13,22.74,22.74,22.74,6,homecare,town,84.45,60.53,49.09,41.46
217110001,3.17,20.17,32.58,20.17,3,homecare,county,80.93,43.21,60.7,49.12
217110002,1.91,17.52,34.06,17.52,3,homecare,county,75.95,64.16,63.52,48.24
217110003,0.28,17.26,32.05,17.26,3,homecare,county,75.29,70.41,46.48,34.99
217110004,1.25,17.95,31.26,17.95,3,homecare,county,76.85,53.9,52.52,40.36
217111001,6.17,7.2,39.72,7.2,3,homecare,county,51.2,31.9,37.72,19.31
217111002,5.73,4.26,41.46,4.26,3,homecare,county,40.62,23.05,39.83,16.18
217112001/01/217099001/217112002/217112003/217112005/217112001/217112004,6.06,6.79,6.0,6.0,2,fci,town,47.4,41.9,64.25,30.45
217112002/01,8.2,8.64,8.12,8.12,3,fci,town,53.41,54.78,59.9,31.99
217112003/01,7.7,8.16,7.62,7.62,3,fci,town,52.24,54.9,66.34,34.66
217112004/01,8.63,9.07,8.55,8.55,3,fci,town,54.3,54.23,43.96,23.87
217112005/01,9.81,10.7,10.1,10.1,2,fci,town,57.87,34.2,58.86,34.06
217113001,8.84,9.72,8.81,8.81,2,fci,town,54.91,39.3,51.34,28.19
217114001,7.68,20.96,21.09,20.96,5,homecare,county,82.2,46.39,57.16,46.99
217115001,6.11,33.69,40.4,33.69,0,homecare,county,95.43,60.6,54.81,52.31
217115002,8.09,35.83,39.74,35.83,0,homecare,county,96.11,61.44,75.14,72.22
217115003,6.13,34.1,38.61,34.1,0,homecare,county,95.62,55.61,41.84,40.01
217116001,4.74,15.6,15.68,15.6,2,homecare,town,71.33,41.91,38.76,27.65
217116002,7.42,12.63,12.53,12.53,2,fci,town,63.19,49.38,56.8,35.89
217118001,10.33,18.11,44.36,18.11,3,homecare,county,77.19,45.2,64.26,49.6
217118002,9.06,20.3,45.15,20.3,3,homecare,county,81.2,84.32,70.68,57.39
217118003,8.82,20.62,45.14,20.62,3,homecare,county,81.7,77.92,84.23,68.82
217119001,2.07,17.71,32.65,17.71,1,homecare,address,76.37,57.37,51.81,39.57
217119002,1.07,16.85,33.67,16.85,1,homecare,address,74.31,46.38,56.21,41.77
217120001,5.09,7.08,6.66,6.66,2,fci,town,49.54,47.61,47.48,23.52
217120002,5.02,5.78,5.04,5.04,2,fci,town,43.77,24.55,40.45,17.7
217120003,6.38,7.17,6.4,6.4,2,fci,town,48.68,36.36,44.84,21.83
217121001,5.6,10.67,32.57,10.67,3,homecare,county,59.18,32.45,69.98,41.41
217121002/01,8.35,13.42,31.11,13.42,3,homecare,county,65.77,43.62,74.38,48.92
217121002/02,7.1,12.02,31.06,12.02,3,homecare,county,61.87,64.62,83.62,51.74
217121002/03/217121004,7.3,12.16,30.69,12.16,3,homecare,county,62.23,71.3,60.74,37.8
217121003,8.87,13.69,29.64,13.69,3,homecare,county,66.53,38.59,59.85,39.82
217122001,6.81,15.6,28.86,15.6,3,homecare,county,71.32,47.95,60.14,42.89
217123001,10.0,23.79,44.54,23.79,1,homecare,town,86.06,48.12,74.95,64.5
217123002,7.01,26.64,46.47,26.64,0,homecare,town,89.79,63.09,74.84,67.2
217124001,5.5,28.36,47.46,28.36,0,homecare,town,91.49,65.18,67.1,61.39
217124002,2.97,28.65,50.57,28.65,0,homecare,address,91.89,75.45,62.67,57.59
217125001,9.54,10.99,38.54,10.99,3,homecare,county,59.83,37.55,52.06,31.15
217125002,9.92,9.83,41.52,9.83,3,homecare,county,57.26,44.16,38.15,21.84
217126001,2.13,18.33,20.1,18.33,5,homecare,county,77.69,49.46,39.66,30.81
217126002,1.57,17.84,17.35,17.35,5,fci,town,75.55,61.41,52.6,39.74
217127001,3.83,29.06,49.25,29.06,0,homecare,town,92.32,50.73,46.8,43.21
217128001,6.56,17.01,18.46,17.01,3,homecare,address,74.71,49.73,48.83,36.48
217129001,8.7,36.02,36.02,36.02,0,homecare,town,96.17,48.84,38.7,37.22
217129002,8.43,36.17,37.65,36.17,0,homecare,address,96.22,70.69,71.68,68.97
217129003,6.63,35.05,37.12,35.05,0,homecare,county,95.9,58.03,59.51,57.07
217129004,5.0,33.51,35.4,33.51,0,homecare,county,95.35,48.42,39.23,37.41
217130001,0.37,14.85,15.18,14.85,2,homecare,town,69.5,41.63,34.62,24.06
217130002,0.85,14.53,14.84,14.53,2,homecare,town,68.71,66.57,46.92,32.24
217130003,4.69,11.89,12.01,11.89,2,homecare,town,61.6,31.55,38.56,23.75
217130004,3.02,12.26,12.53,12.26,2,homecare,town,62.52,37.74,46.07,28.8
217130005,0.74,14.34,14.67,14.34,2,homecare,town,68.29,59.62,37.52,25.62
217130006,0.83,14.2,14.53,14.2,2,homecare,town,67.89,57.84,30.85,20.94
217131001,10.61,6.01,38.08,6.01,3,homecare,county,47.45,45.4,56.53,26.82
217131002,10.96,6.43,37.91,6.43,3,homecare,county,48.8,33.76,45.6,22.25
217132001,6.04,10.0,30.18,10.0,3,homecare,county,57.64,35.05,45.8,26.4
217132002,6.73,9.87,29.34,9.87,3,homecare,county,57.39,35.27,57.97,33.27
217133001,7.09,14.93,32.73,14.93,3,homecare,county,69.66,40.09,58.05,40.44
217133002,8.46,12.55,32.84,12.55,3,homecare,county,63.29,39.27,41.71,26.4
217134001/01,8.5,21.74,21.26,21.26,5,fci,town,82.57,60.46,81.47,67.27
217134001/02,8.36,21.78,21.11,21.11,5,fci,town,82.41,74.7,78.89,65.01
217134002,6.5,20.12,21.62,20.12,5,homecare,address,80.86,57.69,74.92,60.58
217134003,8.07,21.56,21.28,21.28,5,fci,town,82.59,80.5,74.82,61.79
217135001/217135006,2.04,30.27,34.92,30.27,0,homecare,county,93.32,58.84,53.94,50.34
217135002,2.25,25.14,38.36,25.14,0,homecare,county,87.93,47.38,51.74,45.49
217135003,1.23,26.19,37.79,26.19,0,homecare,county,89.27,58.34,52.95,47.27
217135004,1.75,27.12,34.95,27.12,0,homecare,county,90.3,66.07,44.14,39.86
217135005,3.1,30.93,37.99,30.93,0,homecare,county,93.8,59.09,38.31,35.93
217135007,1.72,30.25,35.95,30.25,0,homecare,county,93.29,61.23,42.18,39.35
217135008,0.97,28.59,39.51,28.59,0,homecare,county,91.81,49.26,51.4,47.19
217136001,0.51,28.54,36.97,28.54,0,homecare,county,91.75,90.58,66.47,60.99
217136002,0.67,29.19,36.21,29.19,0,homecare,county,92.46,73.98,54.41,50.31
217136003,0.4,28.92,36.08,28.92,0,homecare,county,92.16,80.68,71.16,65.58
217136004,0.02,28.51,36.25,28.51,0,homecare,county,91.69,81.62,82.53,75.67
217136005,0.43,28.31,35.91,28.31,0,homecare,county,91.42,71.89,58.95,53.89
217136006,0.26,28.62,35.99,28.62,0,homecare,county,91.84,82.5,65.71,60.35
217136007,1.19,29.17,37.18,29.17,0,homecare,county,92.42,77.36,53.13,49.1
217136008,1.37,29.41,37.17,29.41,0,homecare,county,92.7,70.57,52.17,48.36
217136009,0.24,28.45,36.48,28.45,0,homecare,county,91.6,93.41,86.39,79.13
217136010,0.36,28.51,36.59,28.51,0,homecare,county,91.7,89.11,75.62,69.34
217136011/01/217136011/217136012,1.63,29.62,37.31,29.62,0,homecare,county,92.89,69.28,42.54,39.52
217136011/02,1.45,29.49,37.2,29.49,0,homecare,county,92.78,76.87,38.44,35.66
217136013,0.81,28.7,35.43,28.7,0,homecare,county,91.93,89.36,70.82,65.1
217136014,0.94,29.03,35.37,29.03,0,homecare,county,92.27,48.13,37.98,35.04
217136015,1.17,29.7,36.03,29.7,0,homecare,county,92.98,78.12,55.09,51.22
217136016,1.22,29.68,36.48,29.68,0,homecare,county,92.97,78.52,79.58,73.99
217136017,1.02,29.53,35.91,29.53,0,homecare,county,92.81,71.95,57.01,52.91
217136018,0.79,29.28,35.86,29.28,0,homecare,county,92.56,77.34,46.09,42.66
217136019,0.82,28.76,37.16,28.76,0,homecare,county,91.98,91.39,78.74,72.43
217136020,0.93,28.9,37.15,28.9,0,homecare,county,92.12,86.78,65.16,60.03
217136021,0.75,28.89,36.83,28.89,0,homecare,county,92.1,75.55,68.72,63.29
217136022,0.89,29.3,36.56,29.3,0,homecare,county,92.59,81.34,74.98,69.42
217136023/01,0.45,28.72,36.6,28.72,0,homecare,county,91.94,91.65,72.1,66.29
217136023/02,0.68,29.06,36.57,29.06,0,homecare,county,92.33,90.62,70.69,65.27
217137001,12.61,17.59,27.9,17.59,3,homecare,county,76.11,68.99,75.95,57.81
217137002,14.65,19.84,26.75,19.84,3,homecare,county,80.35,61.4,55.78,44.82
217138001,13.37,13.9,14.8,13.9,3,homecare,town,67.11,34.3,50.2,33.69
217138002,12.61,12.97,13.86,12.97,3,homecare,town,64.4,40.3,56.88,36.63
217138003,10.94,11.57,12.47,11.57,3,homecare,town,60.98,62.05,56.82,34.65
217139001/217139002,10.98,15.88,15.88,15.88,7,homecare,town,71.97,70.47,55.16,39.7
217139003/217139009,10.23,15.33,15.33,15.33,7,homecare,town,70.67,36.09,28.45,20.11
217139004,8.96,13.42,13.42,13.42,7,homecare,town,65.79,48.37,62.0,40.79
217139005,11.49,16.66,16.66,16.66,7,homecare,town,73.83,43.87,30.56,22.56
217139006,13.75,19.35,19.35,19.35,7,homecare,town,79.53,43.12,31.07,24.71
217139007/217139002/217139005,10.33,15.65,15.65,15.65,7,homecare,town,71.45,46.09,48.54,34.68
217139008,10.57,16.1,16.1,16.1,7,homecare,town,72.56,70.03,47.43,34.42
217139009,10.77,15.57,15.57,15.57,7,homecare,town,71.26,48.38,26.24,18.7
217139010,10.65,16.27,16.27,16.27,7,homecare,town,72.86,50.13,36.77,26.79
217139011/217139006/217139002,10.54,16.64,16.64,16.64,7,homecare,town,73.78,68.92,52.59,38.8
217140001,6.56,19.88,19.21,19.21,3,fci,town,79.28,63.81,71.04,56.32
217140002,6.72,21.69,21.02,21.02,4,fci,town,82.28,66.56,71.88,59.14
217141001,1.63,13.68,25.25,13.68,3,homecare,county,66.5,49.66,41.89,27.86
217141002,3.75,11.71,27.53,11.71,3,homecare,county,61.28,44.73,41.71,25.56
217142001,3.62,17.76,28.64,17.76,3,homecare,county,76.5,41.66,56.81,43.46
217142002,2.12,15.15,31.7,15.15,3,homecare,county,70.19,56.35,64.72,45.43
217143001,8.16,12.76,11.99,11.99,2,fci,town,61.83,40.74,57.3,35.43
217143002,10.03,15.92,15.07,15.07,2,fci,town,70.01,44.23,45.79,32.06
217143003,8.53,12.43,11.66,11.66,2,fci,town,61.15,59.09,55.73,34.08
217143004,8.47,13.49,12.7,12.7,2,fci,town,63.67,68.45,62.7,39.92
217143005,8.62,13.02,12.23,12.23,2,fci,town,62.4,66.2,57.2,35.69
217144001,10.88,18.77,25.82,18.77,4,homecare,county,78.52,60.67,59.17,46.46
217145001,6.55,9.87,35.82,9.87,3,homecare,county,57.37,36.31,44.26,25.39
217145002,5.35,10.43,33.37,10.43,3,homecare,county,58.59,42.62,37.98,22.25
217145003,6.09,10.6,33.78,10.6,3,homecare,county,59.02,39.92,53.06,31.32
217146001,8.09,21.81,40.46,21.81,1,homecare,town,83.31,68.56,60.56,50.45
217147001/01,5.3,21.87,29.49,21.87,3,homecare,county,83.4,60.38,61.4,51.21
217147001/02,4.84,21.87,31.57,21.87,3,homecare,county,83.42,54.0,49.81,41.55
217148001,5.24,22.11,46.71,22.11,1,homecare,town,83.71,48.52,45.55,38.13
217149001,9.04,25.38,42.94,25.38,0,homecare,town,88.22,49.8,63.09,55.66
217150001,4.23,16.32,36.62,16.32,1,homecare,town,72.99,49.91,49.09,35.83
217150002,2.09,13.89,36.06,13.89,1,homecare,town,67.1,44.48,39.9,26.77
217151001,6.39,11.27,26.68,11.27,1,homecare,address,60.43,43.92,48.99,29.6
217152001,0.18,17.06,41.63,17.06,1,homecare,town,74.85,74.42,67.27,50.35
217152002,0.82,17.49,41.24,17.49,1,homecare,town,75.89,55.2,63.61,48.27
217152003,0.85,17.29,41.71,17.29,1,homecare,town,75.36,69.35,56.52,42.59
217152004,2.66,19.47,43.87,19.47,1,homecare,town,79.75,70.97,84.74,67.58
217152005,0.1,16.8,41.39,16.8,1,homecare,town,74.17,84.64,59.89,44.42
217152007,0.48,17.37,41.96,17.37,1,homecare,town,75.62,58.9,56.01,42.35
217152008,0.57,17.23,41.72,17.23,1,homecare,town,75.23,65.53,55.0,41.38
217152009,0.76,17.63,42.17,17.63,1,homecare,town,76.21,63.06,58.26,44.4
217152010,1.61,18.04,42.37,18.04,1,homecare,town,77.05,78.91,72.74,56.05
217152011,1.27,18.0,42.44,18.0,1,homecare,town,76.97,79.26,86.91,66.89
217152012,1.23,17.51,41.85,17.51,1,homecare,town,75.92,51.84,46.32,35.17
217152013/217152012,1.73,17.84,42.09,17.84,1,homecare,town,76.69,44.2,69.45,53.26
217152014,0.99,17.11,41.48,17.11,1,homecare,town,74.96,64.44,59.86,44.87
217152015,0.27,16.81,41.45,16.81,1,homecare,town,74.21,80.48,69.9,51.87
217152016,1.85,17.19,42.07,17.19,1,homecare,town,75.12,57.15,81.36,61.12
217152017,0.38,16.19,40.8,16.19,1,homecare,town,72.74,82.05,71.38,51.92
217152018,1.2,15.23,39.74,15.23,1,homecare,town,70.4,75.39,73.39,51.67
217152019,1.15,15.43,40.02,15.43,1,homecare,town,70.91,77.7,66.45,47.12
217152020,0.94,15.64,40.22,15.64,1,homecare,town,71.43,79.12,67.3,48.07
217152021,0.54,16.28,40.78,16.28,1,homecare,town,72.91,77.41,59.73,43.55
217152022/217152006,0.49,16.65,41.14,16.65,1,homecare,town,73.81,74.68,67.48,49.81
217152023,0.15,16.65,41.21,16.65,1,homecare,town,73.8,83.29,65.92,48.65
217152024,0.98,15.74,40.43,15.74,1,homecare,town,71.66,72.82,78.77,56.45
